fonte: 2, destino: 37649, peso: 1
fonte: 4, destino: 95957, peso: 1
fonte: 35, destino: 90468, peso: 1
fonte: 37, destino: 52528, peso: 1
fonte: 45, destino: 1204, peso: 1
fonte: 48, destino: 54529, peso: 1
fonte: 59, destino: 62820, peso: 1
fonte: 65, destino: 3902, peso: 1
fonte: 70, destino: 5907, peso: 1
fonte: 73, destino: 83087, peso: 1
fonte: 73, destino: 41018, peso: 1
fonte: 77, destino: 77843, peso: 1
fonte: 78, destino: 3862, peso: 1
fonte: 81, destino: 40861, peso: 1
fonte: 94, destino: 41075, peso: 1
fonte: 102, destino: 60691, peso: 1
fonte: 103, destino: 27208, peso: 1
fonte: 103, destino: 91976, peso: 1
fonte: 112, destino: 53737, peso: 1
fonte: 114, destino: 14095, peso: 1
fonte: 116, destino: 22053, peso: 1
fonte: 116, destino: 83560, peso: 1
fonte: 117, destino: 54728, peso: 1
fonte: 135, destino: 40008, peso: 1
fonte: 140, destino: 53633, peso: 1
fonte: 154, destino: 87656, peso: 1
fonte: 154, destino: 28836, peso: 1
fonte: 164, destino: 46281, peso: 1
fonte: 167, destino: 59977, peso: 1
fonte: 172, destino: 81347, peso: 1
fonte: 175, destino: 88473, peso: 1
fonte: 178, destino: 7062, peso: 1
fonte: 184, destino: 49947, peso: 1
fonte: 184, destino: 58421, peso: 1
fonte: 198, destino: 82129, peso: 1
fonte: 205, destino: 39974, peso: 1
fonte: 212, destino: 74293, peso: 1
fonte: 220, destino: 20236, peso: 1
fonte: 222, destino: 95912, peso: 1
fonte: 224, destino: 80710, peso: 1
fonte: 230, destino: 29349, peso: 1
fonte: 230, destino: 6203, peso: 1
fonte: 232, destino: 3885, peso: 1
fonte: 232, destino: 16697, peso: 1
fonte: 234, destino: 48529, peso: 1
fonte: 239, destino: 70079, peso: 1
fonte: 244, destino: 94015, peso: 1
fonte: 249, destino: 89956, peso: 1
fonte: 256, destino: 8902, peso: 1
fonte: 263, destino: 41845, peso: 1
fonte: 272, destino: 68889, peso: 1
fonte: 278, destino: 77373, peso: 1
fonte: 279, destino: 45293, peso: 1
fonte: 279, destino: 67414, peso: 1
fonte: 281, destino: 62838, peso: 1
fonte: 283, destino: 19792, peso: 1
fonte: 289, destino: 62100, peso: 1
fonte: 290, destino: 40604, peso: 1
fonte: 291, destino: 20644, peso: 1
fonte: 296, destino: 43496, peso: 1
fonte: 297, destino: 70478, peso: 1
fonte: 299, destino: 86637, peso: 1
fonte: 308, destino: 44025, peso: 1
fonte: 309, destino: 86392, peso: 1
fonte: 318, destino: 77827, peso: 1
fonte: 319, destino: 8010, peso: 1
fonte: 322, destino: 45775, peso: 1
fonte: 332, destino: 48380, peso: 1
fonte: 333, destino: 5138, peso: 1
fonte: 338, destino: 9661, peso: 1
fonte: 342, destino: 85065, peso: 1
fonte: 344, destino: 35461, peso: 1
fonte: 349, destino: 41976, peso: 1
fonte: 352, destino: 38525, peso: 1
fonte: 356, destino: 39264, peso: 1
fonte: 360, destino: 98351, peso: 1
fonte: 367, destino: 11210, peso: 1
fonte: 383, destino: 21116, peso: 1
fonte: 391, destino: 54174, peso: 1
fonte: 407, destino: 47783, peso: 1
fonte: 408, destino: 272, peso: 1
fonte: 410, destino: 86673, peso: 1
fonte: 412, destino: 32084, peso: 1
fonte: 413, destino: 74157, peso: 1
fonte: 414, destino: 64569, peso: 1
fonte: 421, destino: 34948, peso: 1
fonte: 422, destino: 60620, peso: 1
fonte: 424, destino: 55405, peso: 1
fonte: 424, destino: 85644, peso: 1
fonte: 431, destino: 25046, peso: 1
fonte: 437, destino: 91075, peso: 1
fonte: 438, destino: 51645, peso: 1
fonte: 449, destino: 18470, peso: 1
fonte: 450, destino: 98886, peso: 1
fonte: 456, destino: 13116, peso: 1
fonte: 457, destino: 22713, peso: 1
fonte: 465, destino: 20121, peso: 1
fonte: 472, destino: 1590, peso: 1
fonte: 479, destino: 94393, peso: 1
fonte: 479, destino: 70197, peso: 1
fonte: 482, destino: 95016, peso: 1
fonte: 483, destino: 47082, peso: 1
fonte: 489, destino: 17926, peso: 1
fonte: 490, destino: 95126, peso: 1
fonte: 491, destino: 4545, peso: 1
fonte: 498, destino: 52123, peso: 1
fonte: 498, destino: 17652, peso: 1
fonte: 517, destino: 528, peso: 1
fonte: 525, destino: 58585, peso: 1
fonte: 527, destino: 16960, peso: 1
fonte: 535, destino: 13267, peso: 1
fonte: 535, destino: 98296, peso: 1
fonte: 535, destino: 57543, peso: 1
fonte: 538, destino: 71692, peso: 1
fonte: 539, destino: 31319, peso: 1
fonte: 540, destino: 94589, peso: 1
fonte: 550, destino: 24804, peso: 1
fonte: 554, destino: 59063, peso: 1
fonte: 554, destino: 78375, peso: 1
fonte: 557, destino: 5244, peso: 1
fonte: 558, destino: 43848, peso: 1
fonte: 560, destino: 74112, peso: 1
fonte: 562, destino: 36378, peso: 1
fonte: 563, destino: 73303, peso: 1
fonte: 568, destino: 165, peso: 1
fonte: 575, destino: 26182, peso: 1
fonte: 589, destino: 10201, peso: 1
fonte: 590, destino: 24878, peso: 1
fonte: 590, destino: 33153, peso: 1
fonte: 594, destino: 65614, peso: 1
fonte: 600, destino: 99688, peso: 1
fonte: 600, destino: 45570, peso: 1
fonte: 601, destino: 85269, peso: 1
fonte: 605, destino: 9585, peso: 1
fonte: 606, destino: 76672, peso: 1
fonte: 614, destino: 23383, peso: 1
fonte: 614, destino: 87510, peso: 1
fonte: 615, destino: 40138, peso: 1
fonte: 616, destino: 41358, peso: 1
fonte: 644, destino: 35004, peso: 1
fonte: 649, destino: 17122, peso: 1
fonte: 656, destino: 20680, peso: 1
fonte: 662, destino: 1819, peso: 1
fonte: 664, destino: 25654, peso: 1
fonte: 665, destino: 28884, peso: 1
fonte: 674, destino: 87553, peso: 1
fonte: 674, destino: 47689, peso: 1
fonte: 676, destino: 96496, peso: 1
fonte: 677, destino: 65825, peso: 1
fonte: 680, destino: 44903, peso: 1
fonte: 681, destino: 67354, peso: 1
fonte: 685, destino: 7231, peso: 1
fonte: 688, destino: 7846, peso: 1
fonte: 693, destino: 48980, peso: 1
fonte: 704, destino: 85702, peso: 1
fonte: 706, destino: 85847, peso: 1
fonte: 729, destino: 80493, peso: 1
fonte: 737, destino: 34713, peso: 1
fonte: 738, destino: 2584, peso: 1
fonte: 739, destino: 70080, peso: 1
fonte: 744, destino: 19782, peso: 1
fonte: 751, destino: 76934, peso: 1
fonte: 757, destino: 73015, peso: 1
fonte: 761, destino: 69987, peso: 1
fonte: 762, destino: 12501, peso: 1
fonte: 763, destino: 3422, peso: 1
fonte: 774, destino: 23476, peso: 1
fonte: 776, destino: 45420, peso: 1
fonte: 781, destino: 75590, peso: 1
fonte: 783, destino: 98251, peso: 1
fonte: 786, destino: 69991, peso: 1
fonte: 787, destino: 9449, peso: 1
fonte: 795, destino: 93569, peso: 1
fonte: 796, destino: 12129, peso: 1
fonte: 797, destino: 44959, peso: 1
fonte: 797, destino: 72006, peso: 1
fonte: 798, destino: 61531, peso: 1
fonte: 801, destino: 50937, peso: 1
fonte: 810, destino: 90933, peso: 1
fonte: 812, destino: 89018, peso: 1
fonte: 813, destino: 89976, peso: 1
fonte: 815, destino: 83875, peso: 1
fonte: 820, destino: 63136, peso: 1
fonte: 824, destino: 71271, peso: 1
fonte: 826, destino: 99477, peso: 1
fonte: 841, destino: 38523, peso: 1
fonte: 842, destino: 81450, peso: 1
fonte: 844, destino: 40346, peso: 1
fonte: 845, destino: 50040, peso: 1
fonte: 848, destino: 6729, peso: 1
fonte: 867, destino: 22648, peso: 1
fonte: 869, destino: 55604, peso: 1
fonte: 870, destino: 39388, peso: 1
fonte: 879, destino: 48441, peso: 1
fonte: 880, destino: 86816, peso: 1
fonte: 894, destino: 33652, peso: 1
fonte: 895, destino: 13208, peso: 1
fonte: 898, destino: 7872, peso: 1
fonte: 898, destino: 13762, peso: 1
fonte: 918, destino: 45077, peso: 1
fonte: 922, destino: 34614, peso: 1
fonte: 923, destino: 3064, peso: 1
fonte: 924, destino: 15770, peso: 1
fonte: 924, destino: 92370, peso: 1
fonte: 926, destino: 24313, peso: 1
fonte: 935, destino: 74895, peso: 1
fonte: 940, destino: 65556, peso: 1
fonte: 945, destino: 51358, peso: 1
fonte: 954, destino: 17216, peso: 1
fonte: 956, destino: 24345, peso: 1
fonte: 958, destino: 83441, peso: 1
fonte: 961, destino: 40428, peso: 1
fonte: 962, destino: 41966, peso: 1
fonte: 963, destino: 50304, peso: 1
fonte: 965, destino: 50448, peso: 1
fonte: 969, destino: 72485, peso: 1
fonte: 969, destino: 26520, peso: 1
fonte: 970, destino: 64260, peso: 1
fonte: 975, destino: 46033, peso: 1
fonte: 978, destino: 59950, peso: 1
fonte: 979, destino: 69876, peso: 1
fonte: 979, destino: 29161, peso: 1
fonte: 980, destino: 17413, peso: 1
fonte: 980, destino: 31586, peso: 1
fonte: 986, destino: 59648, peso: 1
fonte: 991, destino: 75847, peso: 1
fonte: 994, destino: 5812, peso: 1
fonte: 994, destino: 38338, peso: 1
fonte: 996, destino: 29253, peso: 1
fonte: 1007, destino: 87957, peso: 1
fonte: 1007, destino: 65365, peso: 1
fonte: 1009, destino: 63334, peso: 1
fonte: 1010, destino: 44397, peso: 1
fonte: 1012, destino: 11565, peso: 1
fonte: 1018, destino: 69320, peso: 1
fonte: 1019, destino: 67425, peso: 1
fonte: 1025, destino: 87478, peso: 1
fonte: 1025, destino: 16995, peso: 1
fonte: 1025, destino: 21114, peso: 1
fonte: 1026, destino: 33609, peso: 1
fonte: 1028, destino: 79131, peso: 1
fonte: 1030, destino: 55843, peso: 1
fonte: 1037, destino: 79875, peso: 1
fonte: 1042, destino: 22391, peso: 1
fonte: 1043, destino: 85705, peso: 1
fonte: 1045, destino: 92995, peso: 1
fonte: 1047, destino: 60404, peso: 1
fonte: 1047, destino: 68711, peso: 1
fonte: 1056, destino: 84130, peso: 1
fonte: 1062, destino: 46183, peso: 1
fonte: 1073, destino: 91484, peso: 1
fonte: 1085, destino: 45968, peso: 1
fonte: 1088, destino: 97984, peso: 1
fonte: 1090, destino: 27268, peso: 1
fonte: 1095, destino: 31417, peso: 1
fonte: 1103, destino: 81933, peso: 1
fonte: 1103, destino: 79814, peso: 1
fonte: 1108, destino: 36792, peso: 1
fonte: 1112, destino: 6406, peso: 1
fonte: 1118, destino: 64658, peso: 1
fonte: 1122, destino: 58529, peso: 1
fonte: 1124, destino: 83141, peso: 1
fonte: 1125, destino: 94857, peso: 1
fonte: 1137, destino: 1379, peso: 1
fonte: 1137, destino: 24326, peso: 1
fonte: 1145, destino: 1583, peso: 1
fonte: 1145, destino: 85985, peso: 1
fonte: 1147, destino: 50265, peso: 1
fonte: 1155, destino: 89005, peso: 1
fonte: 1163, destino: 43066, peso: 1
fonte: 1164, destino: 74096, peso: 1
fonte: 1168, destino: 34734, peso: 1
fonte: 1170, destino: 81862, peso: 1
fonte: 1175, destino: 99563, peso: 1
fonte: 1181, destino: 2908, peso: 1
fonte: 1183, destino: 12974, peso: 1
fonte: 1185, destino: 15021, peso: 1
fonte: 1188, destino: 6359, peso: 1
fonte: 1193, destino: 32090, peso: 1
fonte: 1200, destino: 73896, peso: 1
fonte: 1202, destino: 49920, peso: 1
fonte: 1222, destino: 27416, peso: 1
fonte: 1223, destino: 67189, peso: 1
fonte: 1227, destino: 17099, peso: 1
fonte: 1227, destino: 28376, peso: 1
fonte: 1229, destino: 2096, peso: 1
fonte: 1230, destino: 28614, peso: 1
fonte: 1234, destino: 75336, peso: 1
fonte: 1240, destino: 2419, peso: 1
fonte: 1241, destino: 26279, peso: 1
fonte: 1248, destino: 37913, peso: 1
fonte: 1251, destino: 83174, peso: 1
fonte: 1255, destino: 89052, peso: 1
fonte: 1258, destino: 42247, peso: 1
fonte: 1266, destino: 86937, peso: 1
fonte: 1267, destino: 58250, peso: 1
fonte: 1272, destino: 19061, peso: 1
fonte: 1275, destino: 55521, peso: 1
fonte: 1280, destino: 48098, peso: 1
fonte: 1285, destino: 12977, peso: 1
fonte: 1291, destino: 53279, peso: 1
fonte: 1293, destino: 68258, peso: 1
fonte: 1295, destino: 9059, peso: 1
fonte: 1305, destino: 23306, peso: 1
fonte: 1309, destino: 72674, peso: 1
fonte: 1316, destino: 89041, peso: 1
fonte: 1316, destino: 83572, peso: 1
fonte: 1320, destino: 72276, peso: 1
fonte: 1334, destino: 99422, peso: 1
fonte: 1335, destino: 15150, peso: 1
fonte: 1337, destino: 54949, peso: 1
fonte: 1341, destino: 87594, peso: 1
fonte: 1341, destino: 86012, peso: 1
fonte: 1342, destino: 29790, peso: 1
fonte: 1344, destino: 56376, peso: 1
fonte: 1344, destino: 96453, peso: 1
fonte: 1347, destino: 86159, peso: 1
fonte: 1353, destino: 29067, peso: 1
fonte: 1354, destino: 86764, peso: 1
fonte: 1355, destino: 57567, peso: 1
fonte: 1357, destino: 78110, peso: 1
fonte: 1365, destino: 89812, peso: 1
fonte: 1369, destino: 43714, peso: 1
fonte: 1370, destino: 45186, peso: 1
fonte: 1374, destino: 77108, peso: 1
fonte: 1386, destino: 72259, peso: 1
fonte: 1387, destino: 32278, peso: 1
fonte: 1388, destino: 5731, peso: 1
fonte: 1390, destino: 46582, peso: 1
fonte: 1392, destino: 50087, peso: 1
fonte: 1393, destino: 70969, peso: 1
fonte: 1396, destino: 4303, peso: 1
fonte: 1398, destino: 52584, peso: 1
fonte: 1401, destino: 22326, peso: 1
fonte: 1406, destino: 95310, peso: 1
fonte: 1409, destino: 63620, peso: 1
fonte: 1412, destino: 30251, peso: 1
fonte: 1413, destino: 85194, peso: 1
fonte: 1419, destino: 51825, peso: 1
fonte: 1420, destino: 40600, peso: 1
fonte: 1444, destino: 8286, peso: 1
fonte: 1445, destino: 16835, peso: 1
fonte: 1447, destino: 81963, peso: 1
fonte: 1448, destino: 67013, peso: 1
fonte: 1449, destino: 21421, peso: 1
fonte: 1450, destino: 57925, peso: 1
fonte: 1462, destino: 65764, peso: 1
fonte: 1469, destino: 57651, peso: 1
fonte: 1469, destino: 67510, peso: 1
fonte: 1474, destino: 98971, peso: 1
fonte: 1477, destino: 63406, peso: 1
fonte: 1480, destino: 57022, peso: 1
fonte: 1481, destino: 86903, peso: 1
fonte: 1483, destino: 1760, peso: 1
fonte: 1485, destino: 22869, peso: 1
fonte: 1487, destino: 49609, peso: 1
fonte: 1488, destino: 54527, peso: 1
fonte: 1490, destino: 83861, peso: 1
fonte: 1493, destino: 27270, peso: 1
fonte: 1493, destino: 38396, peso: 1
fonte: 1494, destino: 3582, peso: 1
fonte: 1495, destino: 88177, peso: 1
fonte: 1498, destino: 81996, peso: 1
fonte: 1500, destino: 97727, peso: 1
fonte: 1501, destino: 11119, peso: 1
fonte: 1511, destino: 56567, peso: 1
fonte: 1514, destino: 20667, peso: 1
fonte: 1524, destino: 66959, peso: 1
fonte: 1536, destino: 22089, peso: 1
fonte: 1537, destino: 60976, peso: 1
fonte: 1538, destino: 22678, peso: 1
fonte: 1540, destino: 16095, peso: 1
fonte: 1544, destino: 13562, peso: 1
fonte: 1546, destino: 44413, peso: 1
fonte: 1548, destino: 61823, peso: 1
fonte: 1554, destino: 93748, peso: 1
fonte: 1557, destino: 18036, peso: 1
fonte: 1562, destino: 4305, peso: 1
fonte: 1564, destino: 19205, peso: 1
fonte: 1565, destino: 34388, peso: 1
fonte: 1566, destino: 59982, peso: 1
fonte: 1567, destino: 82645, peso: 1
fonte: 1574, destino: 96905, peso: 1
fonte: 1588, destino: 98743, peso: 1
fonte: 1593, destino: 52691, peso: 1
fonte: 1594, destino: 32982, peso: 1
fonte: 1597, destino: 91220, peso: 1
fonte: 1618, destino: 8056, peso: 1
fonte: 1618, destino: 87922, peso: 1
fonte: 1619, destino: 59661, peso: 1
fonte: 1621, destino: 99140, peso: 1
fonte: 1628, destino: 84423, peso: 1
fonte: 1628, destino: 708, peso: 1
fonte: 1632, destino: 5375, peso: 1
fonte: 1635, destino: 82029, peso: 1
fonte: 1639, destino: 80539, peso: 1
fonte: 1645, destino: 20187, peso: 1
fonte: 1649, destino: 72508, peso: 1
fonte: 1657, destino: 25186, peso: 1
fonte: 1658, destino: 19306, peso: 1
fonte: 1664, destino: 36175, peso: 1
fonte: 1666, destino: 64122, peso: 1
fonte: 1667, destino: 92016, peso: 1
fonte: 1674, destino: 86898, peso: 1
fonte: 1678, destino: 51497, peso: 1
fonte: 1689, destino: 11028, peso: 1
fonte: 1698, destino: 87493, peso: 1
fonte: 1701, destino: 29947, peso: 1
fonte: 1702, destino: 89538, peso: 1
fonte: 1703, destino: 84626, peso: 1
fonte: 1704, destino: 50917, peso: 1
fonte: 1710, destino: 47686, peso: 1
fonte: 1712, destino: 73039, peso: 1
fonte: 1718, destino: 39871, peso: 1
fonte: 1725, destino: 25657, peso: 1
fonte: 1726, destino: 99948, peso: 1
fonte: 1729, destino: 13250, peso: 1
fonte: 1743, destino: 74529, peso: 1
fonte: 1747, destino: 20411, peso: 1
fonte: 1756, destino: 80168, peso: 1
fonte: 1759, destino: 72100, peso: 1
fonte: 1760, destino: 60829, peso: 1
fonte: 1784, destino: 67163, peso: 1
fonte: 1791, destino: 7805, peso: 1
fonte: 1801, destino: 19867, peso: 1
fonte: 1803, destino: 6442, peso: 1
fonte: 1803, destino: 60003, peso: 1
fonte: 1805, destino: 79184, peso: 1
fonte: 1811, destino: 32895, peso: 1
fonte: 1815, destino: 66519, peso: 1
fonte: 1824, destino: 98994, peso: 1
fonte: 1827, destino: 73262, peso: 1
fonte: 1831, destino: 53845, peso: 1
fonte: 1837, destino: 22520, peso: 1
fonte: 1839, destino: 13784, peso: 1
fonte: 1840, destino: 3124, peso: 1
fonte: 1845, destino: 66987, peso: 1
fonte: 1859, destino: 42778, peso: 1
fonte: 1870, destino: 835, peso: 1
fonte: 1879, destino: 56652, peso: 1
fonte: 1883, destino: 89692, peso: 1
fonte: 1892, destino: 98166, peso: 1
fonte: 1908, destino: 43106, peso: 1
fonte: 1910, destino: 28025, peso: 1
fonte: 1918, destino: 98459, peso: 1
fonte: 1923, destino: 78022, peso: 1
fonte: 1938, destino: 25183, peso: 1
fonte: 1951, destino: 65030, peso: 1
fonte: 1951, destino: 72099, peso: 1
fonte: 1952, destino: 31092, peso: 1
fonte: 1954, destino: 8308, peso: 1
fonte: 1954, destino: 28865, peso: 1
fonte: 1959, destino: 5191, peso: 1
fonte: 1963, destino: 33651, peso: 1
fonte: 1964, destino: 83520, peso: 1
fonte: 1973, destino: 28061, peso: 1
fonte: 1975, destino: 80577, peso: 1
fonte: 1982, destino: 2681, peso: 1
fonte: 1983, destino: 57337, peso: 1
fonte: 1988, destino: 17501, peso: 1
fonte: 1991, destino: 88577, peso: 1
fonte: 1994, destino: 84574, peso: 1
fonte: 1997, destino: 626, peso: 1
fonte: 2001, destino: 91606, peso: 1
fonte: 2009, destino: 69680, peso: 1
fonte: 2013, destino: 29423, peso: 1
fonte: 2026, destino: 4864, peso: 1
fonte: 2032, destino: 27197, peso: 1
fonte: 2033, destino: 55689, peso: 1
fonte: 2034, destino: 91111, peso: 1
fonte: 2035, destino: 7792, peso: 1
fonte: 2038, destino: 78774, peso: 1
fonte: 2038, destino: 86734, peso: 1
fonte: 2039, destino: 44324, peso: 1
fonte: 2046, destino: 2302, peso: 1
fonte: 2047, destino: 71285, peso: 1
fonte: 2053, destino: 65618, peso: 1
fonte: 2058, destino: 21806, peso: 1
fonte: 2072, destino: 17297, peso: 1
fonte: 2073, destino: 31836, peso: 1
fonte: 2073, destino: 28773, peso: 1
fonte: 2079, destino: 60777, peso: 1
fonte: 2082, destino: 98178, peso: 1
fonte: 2088, destino: 25148, peso: 1
fonte: 2095, destino: 25842, peso: 1
fonte: 2098, destino: 1530, peso: 1
fonte: 2100, destino: 12697, peso: 1
fonte: 2101, destino: 25931, peso: 1
fonte: 2105, destino: 57219, peso: 1
fonte: 2114, destino: 67128, peso: 1
fonte: 2117, destino: 74667, peso: 1
fonte: 2119, destino: 44253, peso: 1
fonte: 2121, destino: 67173, peso: 1
fonte: 2126, destino: 65898, peso: 1
fonte: 2132, destino: 94390, peso: 1
fonte: 2139, destino: 39773, peso: 1
fonte: 2143, destino: 69501, peso: 1
fonte: 2144, destino: 20756, peso: 1
fonte: 2144, destino: 55951, peso: 1
fonte: 2146, destino: 67044, peso: 1
fonte: 2153, destino: 62067, peso: 1
fonte: 2157, destino: 90255, peso: 1
fonte: 2164, destino: 36462, peso: 1
fonte: 2171, destino: 80347, peso: 1
fonte: 2182, destino: 95160, peso: 1
fonte: 2183, destino: 3634, peso: 1
fonte: 2186, destino: 63791, peso: 1
fonte: 2188, destino: 24694, peso: 1
fonte: 2190, destino: 7887, peso: 1
fonte: 2201, destino: 2026, peso: 1
fonte: 2205, destino: 77479, peso: 1
fonte: 2209, destino: 19218, peso: 1
fonte: 2216, destino: 19191, peso: 1
fonte: 2217, destino: 90683, peso: 1
fonte: 2220, destino: 27367, peso: 1
fonte: 2224, destino: 92098, peso: 1
fonte: 2228, destino: 9744, peso: 1
fonte: 2229, destino: 29879, peso: 1
fonte: 2233, destino: 37967, peso: 1
fonte: 2234, destino: 37948, peso: 1
fonte: 2237, destino: 75571, peso: 1
fonte: 2238, destino: 26367, peso: 1
fonte: 2253, destino: 84682, peso: 1
fonte: 2254, destino: 80885, peso: 1
fonte: 2255, destino: 93118, peso: 1
fonte: 2256, destino: 8947, peso: 1
fonte: 2259, destino: 51040, peso: 1
fonte: 2262, destino: 33116, peso: 1
fonte: 2266, destino: 94765, peso: 1
fonte: 2268, destino: 50556, peso: 1
fonte: 2272, destino: 29652, peso: 1
fonte: 2274, destino: 11780, peso: 1
fonte: 2278, destino: 26592, peso: 1
fonte: 2292, destino: 63651, peso: 1
fonte: 2297, destino: 29121, peso: 1
fonte: 2300, destino: 99671, peso: 1
fonte: 2305, destino: 72939, peso: 1
fonte: 2310, destino: 11176, peso: 1
fonte: 2311, destino: 24837, peso: 1
fonte: 2313, destino: 27058, peso: 1
fonte: 2313, destino: 8293, peso: 1
fonte: 2318, destino: 39960, peso: 1
fonte: 2320, destino: 16686, peso: 1
fonte: 2323, destino: 88045, peso: 1
fonte: 2328, destino: 1571, peso: 1
fonte: 2330, destino: 79374, peso: 1
fonte: 2334, destino: 51320, peso: 1
fonte: 2341, destino: 34210, peso: 1
fonte: 2342, destino: 32007, peso: 1
fonte: 2344, destino: 5315, peso: 1
fonte: 2345, destino: 38766, peso: 1
fonte: 2346, destino: 21293, peso: 1
